district_name,ta,village
Chitipa,Mwabulambya,Kaliati
Chitipa,Mwabulambya,Maligumu
Chitipa,Mwabulambya,Mbilima
Chitipa,Mwabulambya,Mtitima
Chitipa,Mwabulambya,"Daniel Nyondo"
Chitipa,Mwabulambya,"Kenani Chinzale"
Chitipa,Mwabulambya,Zingalupiri
Chitipa,Mwabulambya,"Robert Jumbe"
Chitipa,Mwabulambya,Mwakapendna
Chitipa,Mwabulambya,Mwamkumbwa
Chitipa,Mwabulambya,Mwanjera
Chitipa,Mwabulambya,Lazaro
Chitipa,Mwabulambya,Mwanjalati
Chitipa,Mwabulambya,Mwanthendi
Chitipa,Mwabulambya,Kaliyembe
Chitipa,Mwabulambya,Mwalupanga
Chitipa,Mwabulambya,Mwenemusyembele
Chitipa,Mwabulambya,"Andrew Kapenda"
Chitipa,Mwabulambya,"Moses Mkisi"
Chitipa,Mwabulambya,Masangalania
Chitipa,Mwabulambya,"Mlonga Mkisi"
Chitipa,Mwabulambya,Mugalure
Chitipa,Mwabulambya,Kampusike
Chitipa,Mwabulambya,Mukumbilende
Chitipa,Mwabulambya,Mwamowa
Chitipa,Mwabulambya,Mwamutende
Chitipa,Mwabulambya,Mwezimupya
Chitipa,Mwabulambya,Nakasale
Chitipa,Mwabulambya,Masasi
Chitipa,Mwabulambya,Mpeta
Chitipa,Mwabulambya,Mubanduke
Chitipa,Mwabulambya,Mwakalomba
Chitipa,Mwabulambya,Vunduvundu
Chitipa,Mwabulambya,"Davide Mwamusenga"
Chitipa,Mwabulambya,Ngwala
Chitipa,Mwabulambya,Telatela
Chitipa,Mwabulambya,"Labani Chimzimu"
Chitipa,Mwabulambya,Mwenengala
Chitipa,Mwabulambya,"Isaac Nyondo"
Chitipa,Mwabulambya,"Lazaro Chimzimu"
Chitipa,Mwabulambya,"Moses Nyondo"
Chitipa,Mwabulambya,"Yohane Chimzimu"
Chitipa,Mwabulambya,"Zabira Mkisi"
Chitipa,Mwabulambya,"Amoni Nyondo"
Chitipa,Mwabulambya,"Labani Nyondo"
Chitipa,Mwabulambya,"Nyamba Nyondo"
Chitipa,Mwabulambya,"Kasisi Nyondo (Kasisi I)"
Chitipa,Mwabulambya,"Lunya Nyondo (Kasis II)"
Chitipa,Mwabulambya,"Mpambwa Nyondo"
Chitipa,Mwabulambya,"Samson Zamamba"
Chitipa,Mwabulambya,"Ten Nyondo"
Chitipa,Mwabulambya,"Kafora Nyondo"
Chitipa,Mwabulambya,"Kasisi Nyondo"
Chitipa,Mwabulambya,"Mpharura Kasisi"
Chitipa,Mwabulambya,"Ten Nyondo (Kasisi IV)"
Chitipa,Mwabulambya,"Ridwell  Nyondo"
Chitipa,Mwabulambya,"Sayini Nyondo"
Chitipa,Mwabulambya,Selemani
Chitipa,Mwabulambya,"Thom Nyondo"
Chitipa,Mwabulambya,"Abel Chinzimui"
Chitipa,Mwabulambya,Munyera
Chitipa,Mwabulambya,"Yotamu Nyondo"
Chitipa,Mwabulambya,"James Nyondo"
Chitipa,Mwabulambya,"Lambasika Nyondo"
Chitipa,Mwabulambya,"Malokota Nyondo"
Chitipa,Mwabulambya,"Mateyu Nyondo"
Chitipa,Mwabulambya,Mwakawanga
Chitipa,Mwabulambya,"Ngwala Nyondo"
